TID	CID	Date	Order	OrderProfit	OrderSize
592	36	2025-06-01	[(45, 1), (16, 1), (33, 1), (22, 1), (1, 1)]	3194	5
153	10	2025-06-02	[(38, 1), (28, 1)]	277	2
255	16	2025-06-02	[(30, 1), (35, 1)]	550	2
84	5	2025-06-03	[(36, 1)]	35	1
401	23	2025-06-03	[(20, 1), (41, 1)]	305	2
575	35	2025-06-03	[(9, 1)]	13	1
593	36	2025-06-03	[(26, 1), (39, 1)]	180	2
52	3	2025-06-04	[(39, 1), (1, 1)]	215	2
154	10	2025-06-04	[(39, 1)]	75	1
402	23	2025-06-04	[(9, 1)]	13	1
576	35	2025-06-06	[(18, 1)]	21	1
15	0	2025-06-07	[(33, 1)]	190	1
475	27	2025-06-08	[(27, 1)]	65	1
98	6	2025-06-09	[(5, 1), (40, 1), (46, 1)]	45	3
316	19	2025-06-10	[(34, 1)]	125	1
359	21	2025-06-10	[(37, 1)]	80	1
339	20	2025-06-11	[(30, 1), (17, 1), (46, 1), (18, 1), (26, 1), (39, 2), (38, 1), (9, 1)]	627	9
498	28	2025-06-11	[(32, 1), (44, 1), (31, 1), (17, 1), (5, 1)]	268	5
340	20	2025-06-12	[(1, 1), (25, 1), (44, 1)]	400	3
39	2	2025-06-13	[(23, 1), (34, 1), (2, 1), (47, 1)]	1905	4
455	26	2025-06-13	[(24, 1), (8, 1)]	21	2
99	6	2025-06-14	[(9, 1), (4, 1)]	31	2
134	9	2025-06-14	[(4, 1)]	18	1
256	16	2025-06-14	[(10, 1), (28, 1), (42, 1), (0, 1), (38, 1)]	2387	5
433	25	2025-06-14	[(24, 1)]	13	1
135	9	2025-06-16	[(8, 1), (48, 1), (24, 1)]	37	3
434	25	2025-06-16	[(14, 1)]	6	1
499	28	2025-06-16	[(9, 1)]	13	1
100	6	2025-06-17	[(14, 1)]	6	1
435	25	2025-06-17	[(11, 1)]	28	1
208	14	2025-06-18	[(45, 1), (49, 1), (39, 1), (26, 1)]	2575	4
382	22	2025-06-18	[(22, 1), (6, 2)]	1315	3
40	2	2025-06-20	[(18, 1), (49, 1)]	116	2
536	30	2025-06-20	[(1, 2), (16, 1)]	629	3
53	3	2025-06-21	[(20, 1), (43, 1)]	369	2
500	28	2025-06-22	[(21, 2), (15, 1), (31, 1)]	61	4
16	0	2025-06-23	[(20, 1)]	210	1
54	3	2025-06-23	[(25, 1), (26, 2), (41, 1), (6, 1), (13, 1), (31, 1), (16, 1)]	1616	8
276	17	2025-06-23	[(29, 1), (46, 1), (47, 1)]	1691	3
537	30	2025-06-23	[(25, 1), (20, 1), (38, 1), (27, 1), (49, 1)]	657	5
630	38	2025-06-23	[(2, 2), (0, 1), (6, 1)]	2750	4
101	6	2025-06-24	[(15, 1)]	6	1
360	21	2025-06-24	[(9, 1)]	13	1
136	9	2025-06-25	[(13, 1)]	135	1
341	20	2025-06-25	[(22, 1), (12, 1), (45, 1), (47, 1)]	4052	4
515	29	2025-06-26	[(14, 1)]	6	1
361	21	2025-06-27	[(18, 1), (30, 1)]	101	2
456	26	2025-06-27	[(13, 1)]	135	1
236	15	2025-06-29	[(34, 1), (23, 2), (19, 1), (46, 1), (14, 1), (38, 1)]	296	7
342	20	2025-06-29	[(7, 1), (32, 1)]	77	2
557	31	2025-06-29	[(7, 2), (34, 1)]	235	3
631	38	2025-06-29	[(38, 1)]	47	1
17	0	2025-06-30	[(25, 1)]	240	1
155	10	2025-06-30	[(27, 1), (10, 1)]	365	2
257	16	2025-06-30	[(19, 1), (18, 1)]	48	2
277	17	2025-06-30	[(23, 1)]	30	1
516	29	2025-06-30	[(2, 1)]	250	1
317	19	2025-07-01	[(28, 1), (41, 1)]	325	2
517	29	2025-07-01	[(8, 1)]	8	1
121	7	2025-07-04	[(14, 1)]	6	1
156	10	2025-07-04	[(43, 1), (16, 1)]	508	2
278	17	2025-07-04	[(26, 1)]	105	1
383	22	2025-07-04	[(45, 1), (1, 1), (16, 1)]	2789	3
157	10	2025-07-05	[(20, 1), (48, 1)]	226	2
518	29	2025-07-05	[(47, 1)]	1500	1
258	16	2025-07-07	[(2, 1)]	250	1
301	18	2025-07-07	[(17, 1), (7, 1), (34, 1)]	360	3
577	35	2025-07-07	[(23, 1)]	30	1
519	29	2025-07-08	[(46, 1), (18, 1)]	52	2
318	19	2025-07-09	[(38, 1)]	47	1
520	29	2025-07-09	[(42, 1)]	110	1
457	26	2025-07-10	[(48, 1)]	16	1
615	37	2025-07-10	[(14, 1)]	6	1
41	2	2025-07-11	[(29, 1)]	160	1
102	6	2025-07-11	[(31, 1), (8, 1)]	45	2
558	31	2025-07-12	[(16, 3)]	1047	3
18	0	2025-07-13	[(39, 1)]	75	1
319	19	2025-07-13	[(26, 1), (17, 1), (35, 1)]	755	3
458	26	2025-07-13	[(11, 1), (4, 3)]	82	4
362	21	2025-07-14	[(34, 1), (19, 1), (2, 1), (47, 1)]	1902	4
179	13	2025-07-15	[(10, 1), (35, 1), (42, 1)]	880	3
343	20	2025-07-15	[(0, 1)]	1700	1
476	27	2025-07-15	[(42, 1), (23, 2), (36, 3)]	275	6
19	0	2025-07-16	[(45, 1)]	2300	1
180	13	2025-07-16	[(27, 1), (23, 2)]	125	3
237	15	2025-07-16	[(18, 1)]	21	1
403	23	2025-07-16	[(25, 1), (16, 1), (22, 1), (13, 1), (39, 1), (45, 1)]	3314	6
363	21	2025-07-17	[(44, 3), (7, 1), (23, 1), (26, 1), (32, 1)]	272	7
404	23	2025-07-17	[(1, 1), (26, 1)]	245	2
616	37	2025-07-17	[(46, 2)]	62	2
69	4	2025-07-18	[(33, 1), (36, 1), (43, 1), (10, 1)]	684	4
344	20	2025-07-18	[(23, 1), (28, 2)]	490	3
20	0	2025-07-19	[(43, 1), (12, 1), (1, 1), (37, 1), (10, 1), (6, 1)]	1266	6
477	27	2025-07-19	[(35, 1), (14, 1)]	476	2
209	14	2025-07-20	[(41, 1)]	95	1
420	24	2025-07-20	[(35, 1), (10, 1)]	770	2
632	38	2025-07-20	[(49, 1)]	95	1
459	26	2025-07-22	[(40, 1)]	5	1
436	25	2025-07-23	[(4, 1), (40, 1)]	23	2
279	17	2025-07-24	[(2, 1), (34, 1)]	375	2
421	24	2025-07-24	[(49, 1)]	95	1
42	2	2025-07-25	[(7, 1)]	55	1
437	25	2025-07-25	[(8, 1), (42, 1), (27, 1)]	183	3
259	16	2025-07-27	[(23, 2), (46, 1)]	91	3
345	20	2025-07-27	[(29, 1), (35, 1)]	630	2
384	22	2025-07-27	[(25, 1), (43, 1)]	399	2
21	0	2025-07-28	[(22, 2), (35, 1)]	900	3
364	21	2025-07-28	[(29, 1)]	160	1
460	26	2025-07-28	[(24, 1)]	13	1
617	37	2025-07-28	[(3, 1), (35, 1)]	495	2
422	24	2025-07-30	[(2, 1)]	250	1
22	0	2025-07-31	[(28, 1)]	230	1
85	5	2025-07-31	[(4, 1)]	18	1
302	18	2025-07-31	[(46, 2)]	62	2
346	20	2025-07-31	[(19, 1)]	27	1
365	21	2025-07-31	[(0, 2)]	3400	2
633	38	2025-07-31	[(27, 1)]	65	1
423	24	2025-08-01	[(22, 1)]	215	1
137	9	2025-08-03	[(24, 1)]	13	1
260	16	2025-08-04	[(14, 1)]	6	1
261	16	2025-08-05	[(27, 1), (40, 1), (37, 1), (5, 1), (30, 1)]	239	5
210	14	2025-08-07	[(37, 1)]	80	1
280	17	2025-08-07	[(0, 1)]	1700	1
70	4	2025-08-08	[(1, 1), (26, 1), (39, 1), (12, 1), (18, 1), (41, 1), (28, 1)]	703	7
86	5	2025-08-09	[(42, 1)]	110	1
211	14	2025-08-09	[(12, 1)]	37	1
43	2	2025-08-10	[(14, 1)]	6	1
594	36	2025-08-11	[(43, 1)]	159	1
103	6	2025-08-12	[(21, 1), (5, 2), (11, 1)]	55	4
478	27	2025-08-13	[(8, 1)]	8	1
538	30	2025-08-13	[(10, 1)]	300	1
320	19	2025-08-14	[(10, 1)]	300	1
634	38	2025-08-17	[(1, 1)]	140	1
181	13	2025-08-18	[(37, 1)]	80	1
479	27	2025-08-18	[(4, 1), (40, 1), (33, 1)]	213	3
262	16	2025-08-19	[(42, 1)]	110	1
635	38	2025-08-19	[(37, 1), (34, 1), (3, 1), (46, 1)]	261	4
321	19	2025-08-22	[(9, 1)]	13	1
461	26	2025-08-22	[(8, 1)]	8	1
595	36	2025-08-22	[(27, 1), (28, 1)]	295	2
138	9	2025-08-24	[(11, 1)]	28	1
158	10	2025-08-25	[(6, 1)]	550	1
596	36	2025-08-25	[(10, 1), (36, 1)]	335	2
23	0	2025-08-26	[(29, 1), (49, 1)]	255	2
182	13	2025-08-26	[(3, 1)]	25	1
559	31	2025-08-26	[(25, 1)]	240	1
55	3	2025-08-27	[(48, 1), (13, 1), (32, 1), (39, 1)]	248	4
322	19	2025-08-27	[(14, 1)]	6	1
405	23	2025-08-27	[(49, 1)]	95	1
44	2	2025-08-28	[(35, 1), (30, 1)]	550	2
281	17	2025-08-29	[(7, 1)]	55	1
462	26	2025-08-30	[(24, 1)]	13	1
636	38	2025-08-30	[(10, 2), (30, 1), (28, 1)]	910	4
501	28	2025-08-31	[(32, 1)]	22	1
212	14	2025-09-01	[(25, 1)]	240	1
122	7	2025-09-02	[(42, 1), (35, 1)]	580	2
159	10	2025-09-02	[(36, 1), (45, 3)]	6935	4
480	27	2025-09-02	[(10, 1), (28, 1)]	530	2
597	36	2025-09-03	[(25, 1), (12, 1), (41, 1)]	372	3
637	38	2025-09-04	[(18, 1)]	21	1
213	14	2025-09-05	[(10, 1)]	300	1
560	31	2025-09-05	[(49, 1), (29, 1)]	255	2
24	0	2025-09-06	[(26, 1)]	105	1
385	22	2025-09-06	[(20, 1), (33, 1), (41, 1), (27, 1), (28, 1)]	790	5
282	17	2025-09-07	[(49, 1), (19, 1)]	122	2
104	6	2025-09-09	[(30, 1)]	80	1
183	13	2025-09-09	[(14, 1)]	6	1
481	27	2025-09-10	[(11, 1), (27, 1), (30, 1)]	173	3
598	36	2025-09-10	[(20, 1), (37, 1), (35, 1), (49, 1), (6, 1), (45, 1), (22, 1), (16, 2), (33, 1)]	4808	10
482	27	2025-09-12	[(42, 1), (16, 1)]	459	2
561	31	2025-09-12	[(22, 1), (45, 1)]	2515	2
56	3	2025-09-16	[(24, 1), (45, 1), (33, 1)]	2503	3
25	0	2025-09-17	[(16, 1), (33, 1)]	539	2
87	5	2025-09-17	[(11, 2)]	56	2
323	19	2025-09-17	[(18, 1), (3, 2), (46, 1)]	102	4
438	25	2025-09-18	[(23, 1)]	30	1
483	27	2025-09-18	[(6, 1), (45, 1)]	2850	2
184	13	2025-09-19	[(17, 1), (30, 1), (18, 1)]	281	3
386	22	2025-09-19	[(12, 1)]	37	1
484	27	2025-09-20	[(37, 1)]	80	1
185	13	2025-09-21	[(9, 1), (26, 1), (12, 1), (36, 1)]	190	4
463	26	2025-09-22	[(13, 1)]	135	1
562	31	2025-09-22	[(6, 3)]	1650	3
139	9	2025-09-23	[(48, 1)]	16	1
57	3	2025-09-24	[(31, 1)]	37	1
186	13	2025-09-25	[(28, 1)]	230	1
214	14	2025-09-25	[(1, 1), (20, 1), (6, 1), (16, 2)]	1598	5
563	31	2025-09-25	[(1, 2), (10, 1), (20, 1), (12, 1)]	827	5
406	23	2025-09-26	[(6, 1), (33, 1), (43, 1)]	899	3
638	38	2025-09-26	[(35, 2)]	940	2
71	4	2025-09-27	[(16, 1), (25, 1), (6, 1)]	1139	3
140	9	2025-09-27	[(24, 1), (8, 1)]	21	2
160	10	2025-09-27	[(22, 1), (1, 2), (35, 1), (25, 1), (12, 1), (37, 1), (28, 2)]	1782	9
263	16	2025-09-27	[(23, 1)]	30	1
105	6	2025-09-28	[(44, 1), (14, 1)]	26	2
324	19	2025-09-28	[(5, 1)]	9	1
106	6	2025-09-29	[(3, 1)]	25	1
215	14	2025-09-29	[(22, 1)]	215	1
439	25	2025-09-29	[(11, 1), (40, 1)]	33	2
26	0	2025-09-30	[(25, 1)]	240	1
216	14	2025-09-30	[(43, 1)]	159	1
440	25	2025-09-30	[(8, 1)]	8	1
502	28	2025-09-30	[(31, 1)]	37	1
